Ruta,TypRuta,Provyta,Delyta,Avst1,Rikt1,Avst2,Rikt2,Avst3,Rikt3,Avst4,Rikt4,Avst5,Rikt5,Avst6,Rikt6,Avst7,Rikt7,Avst8,Rikt8
17,1,9,1,100,203,100,35,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2
17,1,9,3,100,349,100,241,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2
17,1,9,3,100,349,100,241,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2
18,1,50,2,100,173,5,19,92,23,100,52,-2,-1,-1,-1,-1,-1,-1,-1
18,1,50,2,100,173,5,19,92,23,100,52,-2,-1,-2,-1,-2,-1,-2,-1
18,1,50,3,100,3,39,327,80,292,87,260,34,249,45,210,100,211,-2,-1
18,1,50,3,100,3,39,327,80,292,87,260,34,249,45,210,100,211,-2,-1
18,1,261,2,100,30,100,208,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
18,1,303,2,100,72,25,68,100,8,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
18,1,325,1,100,278,0,360,85,177,100,120,-2,-1,-2,-1,-2,-1,-2,-1
18,1,343,2,100,72,100,298,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
19,1,2,1,100,181,41,125,30,76,100,43,-2,-1,-2,-1,-2,-1,-2,-1
19,1,2,1,100,181,41,125,30,76,100,43,-2,-1,-1,-1,-1,-1,-1,-1
19,1,8,1,100,226,47,277,86,324,100,343,-2,-1,-1,-1,-1,-1,-1,-1
19,1,8,1,100,226,47,277,86,324,100,343,-2,-1,-2,-1,-2,-1,-2,-1
19,1,9,1,100,259,63,167,65,131,100,118,-2,-1,-2,-1,-2,-1,-2,-1
19,1,9,1,100,259,63,167,65,131,100,118,-2,-1,-1,-1,-1,-1,-1,-1
19,1,51,1,100,260,100,112,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
19,1,51,1,100,260,100,112,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,1,52,2,100,104,100,260,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
19,1,52,2,100,104,100,260,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,1,350,2,100,133,100,357,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
20,1,2,1,100,51,100,168,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,2,1,100,51,100,168,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,3,2,100,73,75,240,100,223,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,3,2,100,73,75,240,100,223,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,4,1,100,256,100,324,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,4,1,100,256,100,324,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,5,1,100,206,68,269,100,321,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,5,1,100,206,68,269,100,321,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,7,1,100,217,100,124,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,7,1,100,217,100,124,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,7,3,100,112,100,318,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,7,3,100,112,100,318,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,60,2,100,88,67,63,100,314,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
20,1,61,1,100,264,100,87,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
21,0,60,2,100,142,100,43,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,1,60,2,100,142,100,43,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
21,0,61,2,100,152,16,77,100,2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,1,61,2,100,152,16,77,100,2,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
21,1,72,1,100,221,100,352,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
21,1,72,1,100,221,100,352,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
21,0,77,2,100,82,100,221,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,1,77,2,100,82,100,221,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
21,1,363,1,100,39,100,207,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
22,1,4,1,100,18,100,118,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,1,4,1,100,18,100,118,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,1,7,1,100,214,100,353,100,83,100,167,-2,-1,-1,-1,-1,-1,-1,-1
22,1,7,1,100,214,100,353,100,83,100,167,-2,-1,-1,-1,-1,-1,-1,-1
22,1,9,1,100,209,100,119,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,1,9,1,100,209,100,119,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,1,11,1,100,240,100,25,100,74,47,104,100,147,-2,-1,-1,-1,-1,-1
22,1,11,3,100,25,100,240,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,1,12,1,100,308,100,178,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,1,12,1,100,308,100,178,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,1,12,3,100,112,100,9,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,1,12,3,100,112,100,9,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,1,50,1,100,341,69,21,100,87,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
23,1,3,2,100,85,100,259,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
23,1,10,2,100,288,61,260,100,210,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
23,1,10,2,100,288,61,260,100,210,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,1,12,1,100,41,100,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,1,12,1,100,41,100,160,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
23,1,13,1,100,252,100,127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,1,226,1,100,52,66,105,100,95,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
23,1,285,1,100,222,55,162,100,123,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
24,1,5,2,100,165,13,238,100,344,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,1,5,2,100,165,13,238,100,344,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,1,235,2,100,156,54,25,100,13,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
24,1,270,1,100,322,100,106,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
24,1,272,1,100,188,82,115,80,18,100,44,-2,-1,-2,-1,-2,-1,-2,-1
24,1,330,1,100,275,100,54,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
24,1,334,2,100,136,100,319,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
24,1,347,2,100,38,41,284,100,237,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
24,1,374,2,100,318,100,207,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
24,1,384,2,100,32,100,237,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
25,1,51,1,100,281,8,306,100,107,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
25,1,51,1,100,281,8,306,100,107,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
25,1,53,2,100,86,24,335,100,245,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,1,53,2,100,86,24,335,100,245,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
25,1,54,2,100,74,100,317,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
25,1,54,2,100,74,100,317,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
25,1,60,1,100,208,100,317,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
25,1,60,1,100,208,100,317,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,1,61,2,100,46,100,183,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,1,61,2,100,46,100,183,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
25,1,364,1,100,32,100,151,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
26,1,8,2,100,53,100,197,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,1,8,2,100,53,100,197,-1,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
26,1,9,1,100,41,74,123,100,167,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
26,1,11,1,100,188,100,358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,1,11,1,100,188,100,358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
